ID,Name,Description,Price,Stock,SKU,Category
9,"Taza termica 360ml","Vaso térmico c /manija IMPORTADO 
 Libre de BPA  ?360ML  ?de acero inoxidable ?c/tapa",18500.00,10,PROD-6861d0ae216cc,bazar
10,"Mesa plegable importada","Mesa plegable IMPORTADA 
 Con 2 porta vasos 
 ?Reforzada 
 ?Fácil traslado por su bolso y practico desarmado
 ?Con elásticos para mayor firmeza",15400.00,24,PROD-6861d110cfb6c,camping
